Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,31712128253.7961,23131941556.7843,3478231165177.1567,
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,3039982500.0,3509000000.0,4001046970.0,
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,46808208746.0839,39798423941.0335,45752336035.9846,
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1604444444.44444,1961111111.11111,2343703703.7037,
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,4809518812031.76,5553340649720.43,6302490414791.98,
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1160259828981.81,1265336288798.07,1424210446281.73,
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,438045256317.456,465047139991.799,528124562235.072,
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,6405870210.32293,7710380085.92257,3478231165177.1567,
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,84440516486.1099,88548049121.4972,74403578363.4355,
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,6618962128022.98,7595602780154.06,8171521483867.57,
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,31016572707362.3,36577654820988.3,38810361603320.3,
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2067813018.99465,2348771013.21241,2236502124.16956,
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,22529291712189.9,26841170398812.4,28075737913541.5,
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,56964942999.3651,66798933785.7702,70974490450.4944,
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,73699366700.2134,85584105993.8746,81641807865.7591,
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,34390910338.9604,39443126174.4335,40932030049.5644,
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,25343525935.8358,30969334705.0515,24042287326.5729,
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,649206262.847519,3478231165177.1567,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,121353645057.144,141817797083.468,130912558829.84,
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,6739645416.47916,8626081320.50612,8784002931.68665,
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,11531967881.0624,13692230147.0588,14508333280.4233,
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,13051441203.9474,14554754116.5427,15297192798.9771,
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,3712604580.32081,5254366310.44801,6170638746.965,
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,3158039788618.23,3741604188467.06,4426622170629.0,
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1120741118380.27,1312557512901.28,1465854089286.47,
